policy_id,policy_family,policy_variant,analysis_only,selection_mode,selection_key,split,chunk_words,aggregation,task,example_count,strict_precision,strict_recall,strict_f1,masking_f2,mean_commit_context_words,selection_error_rate,gold_premature_rate,wrong_commitment_rate,missed_entity_rate
ema:main:52cb0bd12701c8e7,ema,main,False,matched_latency,ema,test,1,overall,__overall__,1200,0.7798025816249051,0.6402743142144638,0.7031838411502911,0.7524631517029964,6.563777994157741,0.3344744950359466,0.08352315869400152,0.2201974183750949,0.35972568578553615
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_latency,fixed-lag,test,1,task,ai4privacy-en,300,0.7388392857142857,0.5347334410339257,0.6204311152764761,0.7072235673930589,0.5589123867069486,0.4386129334582943,0.140625,0.2611607142857143,0.46526655896607433
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_latency,fixed-lag,test,1,task,gretel,300,0.6787878787878788,0.7156549520766773,0.6967340590979783,0.8163766833775681,0.71875,0.3265940902021773,0.045454545454545456,0.3212121212121212,0.28434504792332266
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_latency,fixed-lag,test,1,task,nemotron-pii,300,0.825,0.8198757763975155,0.822429906542056,0.7775738361421659,0.45454545454545453,0.19626168224299065,0.0375,0.175,0.18012422360248448
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_latency,fixed-lag,test,1,task,privy,300,0.8721804511278195,0.6810176125244618,0.7648351648351648,0.7588510606174982,18.25287356321839,0.26483516483516484,0.06766917293233082,0.12781954887218044,0.31898238747553814
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_latency,fixed-lag,test,1,overall,__overall__,1200,0.7741211667913238,0.6452618453865336,0.703842230533832,0.7572660960682912,6.529468599033817,0.3339000340020401,0.08302169035153328,0.22587883320867613,0.35473815461346636
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_latency,fixed-threshold,test,1,task,ai4privacy-en,300,0.518918918918919,0.6203554119547657,0.565121412803532,0.8721133938525244,0.4375,0.5084621044885945,0.13513513513513514,0.4810810810810811,0.37964458804523427
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_latency,fixed-threshold,test,1,task,gretel,300,0.468682505399568,0.6932907348242812,0.5592783505154639,0.8464426595694123,0.7465437788018433,0.47164948453608246,0.05183585313174946,0.531317494600432,0.30670926517571884
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_latency,fixed-threshold,test,1,task,nemotron-pii,300,0.45185185185185184,0.7577639751552795,0.5661252900232018,0.7415553809897881,0.4344262295081967,0.48491879350348027,0.08148148148148149,0.5481481481481482,0.2422360248447205
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_latency,fixed-threshold,test,1,task,privy,300,0.5840266222961731,0.6868884540117417,0.631294964028777,0.748031496062992,18.085470085470085,0.4307553956834532,0.11480865224625623,0.415973377703827,0.3131115459882583
